Sources,Ash%,VM%,Moisture%,HGI Index,Vitrinite content,MMR Index,Fluidity,CSN,Softening temperature ,Resilidification temperature,Range degc,Sulphur
AUS(H),10.04,22.27,9.08,0,0,0,750,0,417,495,78,0.51
USA(H),8.59,26.09,10.3,0,0,0,1230,0,395,491,96,0.94
USA(SOFT),7.94,33.38,9.13,0,0,0,4554,0,0,0,0,0.93
BENGA,13.57,24.83,9.11,0,0,0,1537,0,0,0,0,0.6
LVHR,10.74,20.35,9.01,0,0,0,371,0,0,0,0,0.88
INDONESIA,12.89,25.23,9.45,0,0,0,441,0,415,488,73,0.82
KESRTRAL SOFT,8.98,25.98,9.19,0,0,0,1164,0,0,0,0,0.93
RUSSIAN SOFT,10.07,32.98,10.1,0,0,0,2450,0,390,471,81,0.87
MOONIDIH,18.5,25.2,9.5,0,0,0,100,0,448,499,51,0.5
JAMBADOBA,18.76,27.4,9.2,0,0,0,102,0,423,478,55,0.5
KEDLA,27.52,25.63,8.46,0,0,0,50,0,410,460,50,0.5
DAHIBARI,27.41,26.97,8.9,0,0,0,56,0,416,472,56,0.5
