Captive 2,18.25,21,10,21,25,950,1.2,85,445,480,505,60,0.6,0.065,7,12000,15 January 2025
Captive 1,18.5,25.5,10,26,28,3750,1,65,435,470,505,70,0.65,0.07,3,5200
Imported Prime Hard Coking 1,11.86,23.04,10,18,25,1200,1.25,68,400,425,495,85,0.45,0.056,7.5,20160
Imported Prime Hard Coking 2,9,24.5,10,20,28,1100,1.17,70,410,460,500,90,0.53,0.025,8,20610
Imported Prime Hard Coking 3,8.97,24.8,9.3,21,30,315,1.15,82,395,450,495,75,0.48,0.088,7.5,20610
Imported Prime Hard Coking 4,8.5,24.5,10,20,31,1500,1.15,75,405,455,495,90,0.5,0.04,8,20610
Imported Hard Coking 1,9.8,28,10,19,25,2000,1.1,80,400,450,485,85,0.48,0.06,7,17000
Imported Hard Coking 2,9.5,27.5,9,25,29,3000,0.95,65,395,450,485,90,0.66,0.08,7,17000
Imported Semi Soft Coking 1,8.1,24.4,9,20,30,300,1.15,78,420,455,485,65,0.44,0.061,7,13440
Imported Semi Soft Coking 2,8.7,33.8,8,27,32,3000,0.93,96,380,470,495,80,0.66,0.03,8,14200
Imported Semi Soft Coking 3,8.5,19.5,9.5,28,35,10,1.38,82,440,450,490,50,0.45,0.045,5.5,13440
Imported Semi Soft Coking 4,8.9,20.5,9,-22,14,1050,1.51,93,427,469,503,34,0.68,0.45,9,13440
Imported Semi Soft Coking 5,7.4,23.7,10.6,18,28,440,1.21,85,420,437,485,65,0.38,0.087,7.5,15000
Non Coking,10.5,19.5,8,0,0,0,1.23,51,0,0,0,0,0.45,0.07,1,9240

